Supplementary data 2 of Hayakawa et al. (2021, The Astrophysical Journal, 919, 1) 'Stephan Prantner’s Sunspot Observations during the Dalton Minimum'. The sunspot positions have been extracted from MS A07 03 07 in Stiftsarchiv Wilten.

Reference:
Hayakawa et al. (2021) Stephan Prantner’s Sunspot Observations during the Dalton Minimum, The Astrophysical Journal, DOI: 10.3847/1538-4357/abee1b

Abb. Meaning
------------------------------------------------------------------
Folio - Folio number for the said sunspot drawing;
YYYY - Year;
MM - Month;
DD - Date;
HH - Hour of the observational time in local time;
Element - arbitrary number for individual sunspots
BB - Heliographic latitude
LL - Calculated Carrington longitude
AREA - Individual sunspot area (msh)
TOYAL AREA - Total sunspot area for the day (msh)
LCM - Heliographic longitude from the central meridian.

The data blank shows the gap of observational data for the specified observational date.
------------------------------------------------------------------




       Folio        YYYY          MM          DD          HH     ELEMENT          BB          LL        AREA  TOTAL_AREA         LCM
          24        1813          05          15         008         E06       14.43       80.41         107        2711        -6.7
          24        1813          05          15         008         E07       14.68       82.84          93        2711        -4.8
          24        1813          05          15         008         E08       18.47       80.38         504        2711        -8.9
          24        1813          05          15         008         E09       15.36       85.13          98        2711        -3.1
          24        1813          05          15         008         E10       21.88       85.88        1266        2711        -6.2
          25        1813          05          16         016         E01       14.36      101.36         821        3060        33.9
          25        1813          05          16         016         E02       14.26       96.83         762        3060        31.0
          25        1813          05          16         016         E03       21.15       95.35        1217        3060        35.8
          25        1813          05          16         016         E04       -6.11       48.71         260        3060       -11.2
          26        1813          05          18         006         E01       -0.37       83.31         218        3608        19.2
          26        1813          05          18         006         E02        6.50       79.95         284        3608         9.0
          26        1813          05          18         006         E03        4.33       83.67         955        3608        13.8
          26        1813          05          18         006         E04       -1.65       86.39         113        3608        22.9
          26        1813          05          18         006         E05        1.32       86.08         268        3608        19.1
          26        1813          05          18         006         E06        7.65       83.33          48        3608         9.4
          26        1813          05          18         006         E07       -1.25       93.56        1436        3608        28.4
          26        1813          05          18         006         E08        2.10       90.24         111        3608        21.3
          26        1813          05          18         006         E09        4.17       89.82         175        3608        18.2
          27        1813          06          25         017         E01       20.67      271.18        1491        4002        23.6
          27        1813          06          25         017         E02       22.94      264.52         841        4002        22.1
          27        1813          06          25         017         E03       24.27      260.27         313        4002        21.3
          27        1813          06          25         017         E04       27.43      261.49         206        4002        24.6
          27        1813          06          25         017         E05       24.05      256.23         796        4002        19.3
          27        1813          06          25         017         E06       28.63      255.88         355        4002        23.3
          28        1813          06          29         017         E01       19.40      252.62         940        2733        44.1
          28        1813          06          29         017         E02       23.91      251.78        1793        2733        46.7
          29        1813          07          07         017         E01        4.62      139.25         417        3221        35.6
          29        1813          07          07         017         E02      -22.18       88.12        1596        3221       -23.7
          29        1813          07          07         017         E03      -21.44       92.93        1208        3221       -19.8
          30        1813          07          28         018         E01       13.45      150.46        1338        5987        -7.8
          30        1813          07          28         018         E02       13.41      144.35         255        5987       -11.2
          30        1813          07          28         018         E03       12.69      138.84        1171        5987       -15.3
          30        1813          07          28         018         E04       13.71      130.96        2571        5987       -19.4
          30        1813          07          28         018         E05        7.96      127.87         358        5987       -28.5
          30        1813          07          28         018         E06        9.22      126.15         201        5987       -28.5
          30        1813          07          28         018         E07       19.16      123.27          93        5987       -17.8
          31        1813          07          29         008         E01        4.85      121.09         277        3541       -33.2
          31        1813          07          29         008         E02        8.09      128.63        1703        3541       -28.6
          31        1813          07          29         008         E03        8.18      122.27         276        3541       -34.3
          31        1813          07          29         008         E04        6.51      137.11         152        3541       -20.6
          31        1813          07          29         008         E05       11.13      135.91         349        3541       -24.8
          31        1813          07          29         008         E06        7.83      139.87         269        3541       -19.4
          31        1813          07          29         008         E07       10.96      142.44         330        3541       -19.7
          31        1813          07          29         008         E08       12.36      139.90         185        3541       -22.5
          32        1813          08          14         008         E01       25.68      364.80         842        2314        10.8
          32        1813          08          14         008         E02       26.01      372.01        1472        2314        15.2
          33        1813          09          03         016         E01        7.40       88.07         175         370        37.3
          33        1813          09          03         016         E02        9.59       83.36         136         370        32.9
          33        1813          09          03         016         E03       12.26       79.23          59         370        29.2
          34        1813          09          23         009         E01       -9.10       83.33        1306        7736       -55.3
          34        1813          09          23         009         E02       -4.52       85.81        1033        7736       -53.6
          34        1813          09          23         009         E03       -7.02       97.52         643        7736       -39.2
          34        1813          09          23         009         E04       -3.39      106.97        1424        7736       -30.6
          34        1813          09          23         009         E05        0.06       97.85         962        7736       -41.5
          34        1813          09          23         009         E06      -14.37      156.24        2368        7736        20.2
          35        1813          09          24         015         E01       -4.50      150.55        1199        2700        12.5
          35        1813          09          24         015         E02        1.14       90.31         615        2700       -41.3
          35        1813          09          24         015         E03       -0.46       83.97          89        2700       -47.9
          35        1813          09          24         015         E04       -0.17       79.47         485        2700       -52.2
          35        1813          09          24         015         E05        1.80       84.75         182        2700       -46.4
          35        1813          09          24         015         E06        3.21       83.21         130        2700       -47.4
          36        1813          10          06         009         E01        8.38      358.47        1810        2017        11.3
          36        1813          10          06         009         E02        6.08      355.52         207        2017        11.7
          36        1813          10          06         009         E03        6.51      357.51           0        2017        12.4
          37        1813          10          22         012         E01      -11.17       53.68        1128        5937       -64.7
          37        1813          10          22         012         E02       -8.86       61.52        1020        5937       -55.9
          37        1813          10          22         012         E03       15.53       93.17         285        5937       -31.2
          37        1813          10          22         012         E04       13.16      110.59         187        5937       -14.8
          37        1813          10          22         012         E05       16.41      107.96         389        5937       -18.5
          37        1813          10          22         012         E06       16.50      116.10        1715        5937       -11.6
          37        1813          10          22         012         E07       16.67      139.82         292        5937         8.8
          37        1813          10          22         012         E08       14.37      145.04         570        5937        14.6
          37        1813          10          22         012         E09       18.06      142.18         118        5937        10.1
          37        1813          10          22         012         E10       18.22      145.69         233        5937        13.1
          38        1813          11          24         012         E01       11.27      121.71        2197        3410        72.0
          38        1813          11          24         012         E02       13.30      109.33        1213        3410        57.7
          39        1813          12          04         012         E01       13.80      247.50         126         763       -31.5
          39        1813          12          04         012         E02       14.43      252.91         637         763       -26.7
          40        1813          12          12         012         E01        2.41      132.78         152        2578       -38.0
          40        1813          12          12         012         E02        5.41      136.77         899        2578       -33.8
          40        1813          12          12         012         E03        5.18      140.32         272        2578       -30.2
          40        1813          12          12         012         E04        5.83      115.11        1155        2578       -55.5
          40        1813          12          12         012         E05        5.24      133.59          51        2578       -37.0
          40        1813          12          12         012         E06        6.32      142.37          49        2578       -28.1
          41        1813          12          14         012         E01        4.34      135.09         272        1225        -8.9
          41        1813          12          14         012         E02        2.61      106.91          98        1225       -37.3
          41        1813          12          14         012         E03        5.63      132.51         163        1225       -11.3
          41        1813          12          14         012         E04        5.94      137.61          69        1225        -6.2
          41        1813          12          14         012         E05        5.30      111.72         623        1225       -32.2
          42        1814          01          03         013         E01      -25.20      257.72         148         742        16.3
          42        1814          01          03         013         E02      -22.04      251.81         252         742        10.5
          42        1814          01          03         013         E03        6.19      194.12         342         742       -47.7
          43        1814          01          06         013         E01      -21.70      192.67         243         550        -9.5
          43        1814          01          06         013         E02      -18.84      160.58         307         550       -40.7
          44        1814          01          14         013         E01      -28.09      157.60         765        1272        58.6
          44        1814          01          14         013         E02        8.00      116.26         109        1272        20.5
          44        1814          01          14         013         E03       27.16       96.58         398        1272         1.4
          45        1814          04          02         017         E01      -27.82      155.47         243         243       -10.3
          46        1814          04          09         017         E01      -26.07       73.61         194         602        -3.8
          46        1814          04          09         017         E02      -25.15       71.04         173         602        -4.6
          46        1814          04          09         017         E03      -24.73       68.67         148         602        -5.8
          46        1814          04          09         017         E04      -24.47       66.40          87         602        -7.0
          47        1814          04          19         006         E01       12.30      314.93         340         340        24.7
          48        1814          05          27         006         E01       -1.58      189.63         302         833        21.8
          48        1814          05          27         006         E02        0.09      189.46         101         833        19.7
          48        1814          05          27         006         E03       -2.12      195.83         294         833        27.3
          48        1814          05          27         006         E04       -0.08      195.79         136         833        24.6
          49        1814          07          01         017         E01       -8.91       22.13         475         475       -19.8
          50        1814          07          04         018         E01        9.56      418.76         361        1628        47.7
          50        1814          07          04         018         E02      -12.60      386.57         620        1628         0.3
          50        1814          07          04         018         E03       19.73      395.50         424        1628        34.9
          50        1814          07          04         018         E04       22.47      392.91         223        1628        35.2
          51        1814          07          15         018         E01      -11.30      235.23         458         809         8.4
