YYYY MM DD HH MI T  Book_num Image_num     LO    BO W_limb E_limb X_diaa X_diab Y_dia spt_Xa spt_Xb spt_Y   CMD LLL.L BBB.B   N S  In  Ob Rdr D C
1761 06 20 11 07 1  book1 IMG_7023.jpg   67.5   2.1 055142 055359 02 17 14.95 01 35  4.59 -27.7  39.8  21.3   a 0  RM Bsp CSJ b 0
1761 06 20 11 07 1  book1 IMG_7023.jpg   67.5   2.1 055142 055359 02 17 14.95 02 07  7.17 -58.6   8.9  -2.8   b 0  RM Bsp CSJ b 0
1761 06 22 11 05 1  none none            41.0   2.3 055804 060021 02 17 14.77 00 11  6.89  57.2  98.2  10.5   v 0   Q   R CSJ b 0
1761 06 22 11 05 1  none none            41.0   2.3 055804 060021 02 17 14.77 01 07  5.47  -0.4  40.6  17.4   a 0   Q   R CSJ b 0
1761 06 22 11 05 1  none none            41.0   2.3 055804 060021 02 17 14.77 01 59  8.22 -46.9 354.1  -9.7   c 0   Q   R CSJ b 0
1761 06 23 11 07 1  book1 IMG_7026.jpg   27.7   2.4 060326 060546 02 19 14.83 00 11  6.80  57.6  85.3  11.1   v 0  RM Bsp CSJ b _
1761 06 23 11 07 1  book1 IMG_7026.jpg   27.7   2.4 060326 060546 02 19 14.83 00 22  6.40  43.2  71.0  13.7   C 0  RM Bsp CSJ b _
1761 06 23 11 07 1  book1 IMG_7026.jpg   27.7   2.4 060326 060546 02 19 14.83 00 59  5.62   7.5  35.3  17.2   a 0  RM Bsp CSJ b _
1761 06 23 11 07 1  book1 IMG_7026.jpg   27.7   2.4 060326 060546 02 19 14.83 01 41  8.40 -26.2   1.5  -8.2   c 0  RM Bsp CSJ b _
1761 06 23 11 07 1  book1 IMG_7026.jpg   27.7   2.4 060326 060546 02 19 14.83 01 49  5.89 -36.6 351.1  10.3   e 0  RM Bsp CSJ b _
1761 06 23 11 07 1  book1 IMG_7026.jpg   27.7   2.4 060326 060546 02 19 14.83 02 19  6.78   NaN   NaN   NaN   f 0  RM Bsp CSJ b _
1761 06 25 11 07 1  book1 IMG_7027b.jpg   1.3   2.6 061118 061335 02 17 15.08 00 01  6.92  81.8  83.0  10.1   y 1  RM  PH CSJ b 0
1761 06 25 11 07 1  book1 IMG_7027b.jpg   1.3   2.6 061118 061335 02 17 15.08 00 26  6.02  38.8  40.1  16.8   a 0  RM  PH CSJ b 0
1761 06 25 11 07 1  book1 IMG_7027b.jpg   1.3   2.6 061118 061335 02 17 15.08 01 12  9.08  -1.9 359.4  -9.4   c 0  RM  PH CSJ b 0
1761 06 25 11 07 1  book1 IMG_7027b.jpg   1.3   2.6 061118 061335 02 17 15.08 01 19  8.98  -7.9 353.4  -9.2   d 0  RM  PH CSJ b 0
1761 06 25 11 07 1  book1 IMG_7027b.jpg   1.3   2.6 061118 061335 02 17 15.08 01 53  7.45 -40.4 320.9  -0.6   f 0  RM  PH CSJ b 0
1761 06 25 11 07 1  book1 IMG_7027b.jpg   1.3   2.6 061118 061335 02 17 15.08 02 13  9.62 -77.1 284.2 -20.4   h 1  RM  PH CSJ b 0
1761 06 25 11 07 1  book1 IMG_7027b.jpg   1.3   2.6 061118 061335 02 17 15.08 02 14  6.19 -76.8 284.5   6.0   g 1  RM  PH CSJ b 0
1761 06 26 11 06 1  book1 IMG_7029.jpg  348.0   2.7 061420 061639 02 19 14.96 02 02  9.05 -49.3 298.7 -13.9   h 0   Q   R CSJ b 0
1761 06 26 11 07 1  book1 IMG_7029.jpg  348.0   2.7 061514 061731 02 17 14.96 00 15  5.85  53.1  41.1  17.9   a 0  RM  PH CSJ b 0
