YYYY MM DD HH MI T    L0    B0   CMD LLL.L BBB.B M Q SS GROUP    MEASURER   MOD_L MOD_B SIGMA DELTA WSA
1861 03 08 12 00 0   -.-   -.-  99.9 235.3 -13.8 O 1  - 48       diercke      -.-   -.-  -.-   -.-   18
1861 03 08 12 00 0   -.-   -.-  99.9 238.1 -13.5 O 1  - 48       diercke      -.-   -.-  -.-   -.-   55
1861 03 08 12 00 0   -.-   -.-  99.9 232.8 -13.0 O 1  - 48       diercke      -.-   -.-  -.-   -.-   55
1861 03 08 12 00 0   -.-   -.-  99.9 236.5 -12.8 O 1  - 48       diercke      -.-   -.-  -.-   -.-   24
1861 03 17 12 00 0   -.-   -.-  99.9 117.6 -12.2 O 1  - 41       diercke      -.-   -.-  -.-   -.-   32
1861 03 08 12 00 0   -.-   -.-  99.9 235.5 -12.2 O 1  - 48       diercke      -.-   -.-  -.-   -.-   16
1861 03 20 12 00 0   -.-   -.-  99.9  84.2 -12.0 O 1  - 39       diercke      -.-   -.-  -.-   -.-   30
1861 03 20 12 00 0   -.-   -.-  99.9  87.3 -11.8 O 1  - 39       diercke      -.-   -.-  -.-   -.-   44
1861 03 08 12 00 0   -.-   -.-  99.9 234.7 -11.4 O 1  - 48       diercke      -.-   -.-  -.-   -.-   39
1861 03 14 12 00 0   -.-   -.-  99.9 164.1  -9.6 O 1  - 44       diercke      -.-   -.-  -.-   -.-  608
1861 03 20 12 00 0   -.-   -.-  99.9  92.9 -11.2 O 1  - 39       diercke      -.-   -.-  -.-   -.-   42
1861 03 08 12 00 0   -.-   -.-  99.9 236.1 -11.3 O 1  - 48       diercke      -.-   -.-  -.-   -.-   21
1861 03 17 12 00 0   -.-   -.-  99.9 119.1 -11.0 O 1  - 41       diercke      -.-   -.-  -.-   -.-   34
1861 03 20 12 00 0   -.-   -.-  99.9  86.1 -11.1 O 1  - 39       diercke      -.-   -.-  -.-   -.-   11
1861 03 17 12 00 0   -.-   -.-  99.9 114.4 -10.5 O 1  - 41       diercke      -.-   -.-  -.-   -.-   53
1861 03 20 12 00 0   -.-   -.-  99.9  81.9 -10.3 O 1  - 39       diercke      -.-   -.-  -.-   -.-   83
1861 03 20 12 00 0   -.-   -.-  99.9  94.9 -10.4 O 1  - 39       diercke      -.-   -.-  -.-   -.-   32
1861 03 20 12 00 0   -.-   -.-  99.9  88.8 -10.5 O 1  - 39       diercke      -.-   -.-  -.-   -.-    7
1861 03 20 12 00 0   -.-   -.-  99.9  84.8 -10.1 O 1  - 39       diercke      -.-   -.-  -.-   -.-   19
1861 03 17 12 00 0   -.-   -.-  99.9 118.6  -8.9 O 1  - 41       diercke      -.-   -.-  -.-   -.-   47
1861 03 20 12 00 0   -.-   -.-  99.9  92.0  -9.5 O 1  - 39       diercke      -.-   -.-  -.-   -.-   48
1861 03 17 12 00 0   -.-   -.-  99.9 116.8  -7.7 O 1  - 41       diercke      -.-   -.-  -.-   -.-  324
1861 03 10 12 00 0   -.-   -.-  99.9 213.0  -8.5 O 1  - 47       diercke      -.-   -.-  -.-   -.-   35
1861 03 17 12 00 0   -.-   -.-  99.9 118.6  -7.4 O 1  - 41       diercke      -.-   -.-  -.-   -.-   19
