YYYY MM DD HH MI T    L0    B0   CMD LLL.L BBB.B M Q SS GROUP    MEASURER   MOD_L MOD_B SIGMA DELTA UMB A
1611 10 26 08 00 1  60.2   4.5  36.9  97.1   2.6 Q 2  7 282      schmiel     41.4   2.2   NaN 36.9   87 !
1611 10 26 08 00 1  60.2   4.5  55.0 115.2  -0.7 Q 2  8 283      schmiel     60.2   0.4   NaN 55.2  181 !
1611 10 26 08 00 1  60.2   4.5  31.6  91.8   2.2 Q 2  5 282      schmiel      NaN   NaN   NaN 31.6   31 !
1611 10 26 08 00 1  60.2   4.5  43.2 103.4  -0.0 Q 2  6 282      schmiel      NaN   NaN   NaN 43.4   68 !
1611 10 26 08 00 1  60.2   4.5  46.9 107.1   2.2 Q 2  7 282      schmiel      NaN   NaN   NaN 46.9  101 !
1611 10 26 08 00 1  60.2   4.5 -27.1  33.1 -18.9 Q 2 10 286      schmiel      NaN   NaN   NaN 35.5  194 !
1611 10 26 08 00 1  60.2   4.5 -43.6  16.6 -15.8 Q 2  9 286      schmiel      NaN   NaN   NaN 47.7  196 !
1611 10 26 12 00 1  58.0   4.5 -64.9 353.1   4.8 Q 3  8 287      schmiel    -67.3   6.8 0.028 64.7  244 !
1611 10 26 12 00 1  58.0   4.5 -47.8  10.2   3.7 Q 3  8 287      schmiel    -50.2   3.4   NaN 47.7  155 !
1611 10 26 12 00 1  58.0   4.5 -36.6  21.4 -22.8 Q 3  9 286      schmiel    -33.3 -21.2   NaN 45.0  189 !
1611 10 26 12 00 1  58.0   4.5 -17.1  40.9 -21.4 Q 3  9 286      schmiel    -13.4 -20.1   NaN 30.8  155 !
1611 10 26 12 00 1  58.0   4.5  24.1  82.1   7.8 Q 3  8 281      schmiel     22.4   8.6   NaN 24.2  115 !
1611 10 26 12 00 1  58.0   4.5  24.4  82.4   4.4 Q 3  7 281      schmiel     22.5   4.9   NaN 24.3   77 !
1611 10 26 12 00 1  58.0   4.5  32.6  90.6   5.4 Q 3  7 281      schmiel     31.1   6.0   NaN 32.5   83 !
1611 10 26 12 00 1  58.0   4.5  41.1  99.1   7.9 Q 3  7 282      schmiel      NaN   NaN   NaN 41.0   93 !
1611 10 26 12 00 1  58.0   4.5  42.2 100.2   4.3 Q 3 10 282      schmiel      NaN   NaN   NaN 42.1  215 !
1611 10 26 12 00 1  58.0   4.5  54.9 112.9   7.4 Q 3  8 282      schmiel      NaN   NaN   NaN 54.7  181 !
1611 10 26 12 00 1  58.0   4.5  55.3 113.3   4.5 Q 3  9 282      schmiel      NaN   NaN   NaN 55.1  233 !
1611 10 26 12 00 1  58.0   4.5  68.3 126.3   4.2 Q 3  9 283      schmiel      NaN   NaN   NaN 68.1  357 !
