
Outstanding sunspot characteristics on the onset of the Maunder Minimum described by Hevelius

Original source: V.M.S. Carrasco, J.M. Vaquero, M.C. Gallego, A. Muñoz-Jaramillo, G. de Toma, P. Galaviz, R. Arlt, V. Senthamizh Pavai, F. Sánchez-Bajo, J. Villalba Álvarez, J.M. Gómez: 2019, The Astrophysical Journal.

YYYY MM DD HH MI:  Date/time
T               :  Time flag 1= time known, 0= time presumed
L0              :  central meridian longitude
B0              :  centre of disk latitude
CMD             :  central meridian distance
LLL.L           :  longitude converted to carrington longitude
BBB.B           :  latitude
M               :  method
Q               :  quality flag 1=best
SS              :  cursor size used to estimate area
GROUP           :  group name (assigned by us)
MEASURER        :  person who measured
MOD_L MOD_B SIGMA: irrelevant, only for bayesian inference of spot locations
DELTA           :  distance from disk center in degrees
UMSD            :  uncorrected umbral area in millionths of solar disk
UMSH            :  corrected umbral area in millionths of solar hemisphere


YYYY MM DD HH MI T    L0    B0   CMD LLL.L BBB.B M Q SS GROUP    MEASURER   MOD_L MOD_B SIGMA DELTA UMSD  UMSH
1643 06 29 07 50 1  22.9   3.2  23.9  46.8  10.3 C 1  5 14       pavai        NaN   NaN   NaN 24.8  78.2  43.1
1643 06 29 07 50 1  22.9   3.2  23.2  46.1  10.5 C 1  4 14       pavai        NaN   NaN   NaN 24.2  41.9  23.0
1643 06 29 07 50 1  22.9   3.2  24.9  47.8  10.3 C 1  3 14       pavai        NaN   NaN   NaN 25.7  23.8  13.2
1643 06 29 07 50 1  22.9   3.2  23.1  46.0   9.4 C 1  0 14       pavai        NaN   NaN   NaN 23.8   1.1   0.6
1643 06 29 07 50 1  22.9   3.2  34.0  56.9  12.4 C 1  4 14       pavai        NaN   NaN   NaN 34.9  41.9  25.5
1643 06 29 07 50 1  22.9   3.2  33.3  56.2  11.9 C 1  0 14       pavai        NaN   NaN   NaN 34.1   1.1   0.7
1643 06 29 07 50 1  22.9   3.2  25.0  47.9  11.5 C 1  0 14       pavai        NaN   NaN   NaN 26.1   1.1   0.6
1643 06 29 07 50 1  22.9   3.2  26.0  48.9  12.6 C 1  1 14       pavai        NaN   NaN   NaN 27.4   5.7   3.2
1643 06 29 07 50 1  22.9   3.2  27.0  49.9  13.5 C 1  2 14       pavai        NaN   NaN   NaN 28.6  10.2   5.8
1643 06 29 07 50 1  22.9   3.2  29.8  52.7  12.4 C 1  2 14       pavai        NaN   NaN   NaN 30.9  10.2   5.9
1643 06 29 07 50 1  22.9   3.2  27.4  50.3  10.7 C 1  2 14       pavai        NaN   NaN   NaN 28.2  10.2   5.8
1643 06 29 07 50 1  22.9   3.2  29.3  52.2   9.9 C 1  2 14       pavai        NaN   NaN   NaN 29.9  10.2   5.9
